Country Name,2016,2017,2018,2019,2020,2021,2022,2023
Brunei Darussalam,1,0,0,0,0,0,0,0
Cambodia,0,0,0,1,1,1,1,1
China,0,0,0,0,0,0,0,1
"Hong Kong SAR, China",1,1,1,1,1,1,1,1
Indonesia,1,1,1,1,1,1,1,1
Japan,1,1,1,1,1,1,0,0
"Korea, Rep.",1,1,1,1,1,1,1,0
Lao PDR,1,1,1,1,1,1,1,1
"Macao SAR, China",1,1,1,1,1,1,1,1
Malaysia,1,1,1,1,1,1,1,1
Mongolia,1,1,0,0,0,0,0,1
Myanmar,0,1,1,1,0,0,0,0
Philippines,1,1,1,1,1,1,1,1
Singapore,1,1,1,1,1,1,1,1
Thailand,1,1,1,1,1,1,1,1
Timor-Leste,1,1,1,1,1,1,0,1
Viet Nam,1,1,1,1,1,1,1,0
