sample,model,term,coef,p,lo,hi,nobs,r2
Extended sample,Same-year FE,Education expenditure,-0.12093164439115908,0.00046138773926640325,-0.18861031788299798,-0.05325297089932017,91,0.9929965911834566
Extended sample,Same-year FE,Internet use,0.0007557865633068504,0.6752487330769403,-0.002780011494951256,0.004291584621564957,91,0.9929965911834566
Extended sample,Same-year FE,Labor force participation,-0.013102183833351044,0.1539519237196859,-0.031114452292226615,0.004910084625524527,91,0.9929965911834566
Extended sample,Lagged FE,Education expenditure,-0.0667525958955485,0.19071634932958514,-0.16674403446652258,0.033238842675425595,79,0.9864396929012889
Extended sample,Lagged FE,Internet use,0.00169520815644378,0.6146272253195716,-0.004904084010370348,0.008294500323257908,79,0.9864396929012889
Extended sample,Lagged FE,Labor force participation,-0.01862203608403934,0.10177618811219963,-0.04092792361072593,0.0036838514426472506,79,0.9864396929012889
Extended sample,Next-year Growth FE,Education expenditure,0.08546043483640478,0.28115743469044907,-0.0699621249996338,0.24088299467244337,67,0.29067881156474906
Extended sample,Next-year Growth FE,Internet use,0.00024275874576105857,0.959316434967825,-0.009084707739674253,0.00957022523119637,67,0.29067881156474906
Extended sample,Next-year Growth FE,Labor force participation,0.006468004849063803,0.5567089617334915,-0.015101665819429533,0.02803767551755714,67,0.29067881156474906
Balanced sample,Same-year FE,Education expenditure,-0.1809309335859826,1.2452939571660054e-11,-0.23327515744374044,-0.12858670972822478,64,0.9959741780379163
Balanced sample,Same-year FE,Internet use,0.0007149713465446454,0.7472153230929406,-0.00363279722720343,0.005062739920292721,64,0.9959741780379163
Balanced sample,Same-year FE,Labor force participation,-0.021867866663868155,0.022805051912809245,-0.04069393241369533,-0.0030418009140409756,64,0.9959741780379163
Balanced sample,Lagged FE,Education expenditure,-0.09093992268143891,0.17586712155382123,-0.22262101388233238,0.04074116851945456,56,0.9869291168078667
Balanced sample,Lagged FE,Internet use,0.0007532356129138773,0.8119476921964782,-0.005452119953720402,0.006958591179548157,56,0.9869291168078667
Balanced sample,Lagged FE,Labor force participation,-0.019268975174536185,0.1461016342709059,-0.04525366803862517,0.006715717689552796,56,0.9869291168078667
Balanced sample,Next-year Growth FE,Education expenditure,0.057442673813448884,0.7729893468204573,-0.3328538623581647,0.44773920998506245,48,0.2747153762397835
Balanced sample,Next-year Growth FE,Internet use,-0.001920285284610145,0.7946899724869922,-0.016383747653206923,0.012543177083986634,48,0.2747153762397835
Balanced sample,Next-year Growth FE,Labor force participation,0.004302401320860473,0.8380639209061355,-0.03695944127439074,0.04556424391611169,48,0.2747153762397835
